Gene	sgRNA	Selected|beta	Selected|z	Selected|p-value	Selected|fdr	Selected|wald-p-value	Selected|wald-fdr
Klf5_p1	8	-0.070699	-1.1168	0.5021	0.92683	0.26407	0.83498
Rif1_p1	8	0.1195	1.6892	0.036364	0.7	0.091177	0.7739
Gabpb1_p1	8	-0.013681	-0.28191	0.92727	0.975	0.77801	0.96599
Zfp280c_p1	8	-0.046612	-0.85817	0.74126	0.92683	0.3908	0.85949
RE85	10	-0.31376	-3.1067	0.0013986	0.1	0.001892	0.13528
Rbpj_p2	8	0.0070329	0.11121	0.71469	0.92683	0.91145	0.97267
Ctcf_p1	8	0.023489	0.38555	0.55105	0.92683	0.69983	0.92758
Tox4_p2	8	0.021029	0.24851	0.56783	0.92683	0.80374	0.96599
RE47	10	0.0097311	0.24391	0.64895	0.92683	0.8073	0.96599
Zic3_p1	8	0.080305	1.0635	0.16503	0.78065	0.28755	0.83878
Myc_p1	8	0.0084263	0.19516	0.7007	0.92683	0.84527	0.96599
Ybx3_p1	8	0.052271	0.42389	0.31748	0.84138	0.67164	0.92758
Zfx_p1	8	-0.03224	-0.44036	0.86434	0.95385	0.65968	0.92536
Gli2_p1	8	0.073696	1.0004	0.18741	0.78824	0.31711	0.85949
E2f4_p1	8	0.029181	0.54397	0.49231	0.92683	0.58646	0.91157
Id2_p2	8	0.0083369	0.17714	0.7007	0.92683	0.8594	0.96599
Zfp236_p1	8	-0.039191	-0.69618	0.79301	0.92683	0.48631	0.88292
Csrnp1_p1	8	0.11093	1.4132	0.039161	0.7	0.1576	0.7739
Epas1_p1	8	-0.063416	-1.4865	0.58322	0.92683	0.13716	0.7739
Capn15_p1	8	-0.067214	-1.1063	0.53846	0.92683	0.26859	0.83498
Tfam_p2	8	0.052612	0.80593	0.31469	0.84138	0.42029	0.85949
RE46	10	0.0096373	0.22003	0.64895	0.92683	0.82585	0.96599
Foxd3_p1	8	-0.065176	-0.48077	0.56364	0.92683	0.63068	0.92536
Adnp_p1	8	-0.15636	-0.79478	0.095105	0.775	0.42674	0.85949
Setdb1_p1	8	0.057508	0.82532	0.27972	0.84138	0.40919	0.85949
Tcf7_p2	8	-0.045373	-1.051	0.74685	0.92683	0.29328	0.83878
FIREWACh	10	-0.04132	-0.47712	0.76503	0.92683	0.63328	0.92536
Erf_p1	8	-0.04485	-0.4745	0.75245	0.92683	0.63515	0.92536
Yy1_p1	8	-0.056432	-0.90648	0.65035	0.92683	0.36468	0.85949
Grhl3_p1	8	-0.026422	-0.57392	0.91888	0.975	0.56602	0.90945
Arid1a_p1	8	-0.067833	-0.72929	0.52727	0.92683	0.46582	0.8651
Gabpa_p1	8	-0.0041764	-0.062938	0.83776	0.94803	0.94982	0.98868
Mitf_p1	8	-0.023253	-0.23572	0.95105	0.98551	0.81365	0.96599
Arnt_p1	8	0.0080704	0.1439	0.7021	0.92683	0.88558	0.97267
Sub1_p1	8	0.05932	0.97182	0.27273	0.84138	0.33114	0.85949
RE96	10	0.092305	1.785	0.074126	0.75714	0.074265	0.7739
Atf5_p1	8	-0.13562	-1.7503	0.13007	0.775	0.080063	0.7739
Cnbp_p1	8	-0.1525	-1.3065	0.099301	0.775	0.19137	0.7739
Mxi1_p1	8	-0.10006	-1.8733	0.29091	0.84138	0.061034	0.7739
Cdx4_p1	8	-0.12138	-1.1899	0.18182	0.78788	0.23409	0.80527
Otx2_p2	8	-0.10968	-1.4876	0.22937	0.84138	0.13686	0.7739
Mis18bp1_p1	8	-0.06357	-0.58773	0.58182	0.92683	0.55672	0.90945
Nanog_p1	8	-0.049383	-0.85073	0.71469	0.92683	0.39492	0.85949
Sox2_p1	8	-0.14199	-1.161	0.11608	0.775	0.24562	0.80527
Zfp654_p1	8	-0.0194	-0.32314	0.9958	0.9958	0.74659	0.93651
Trp53_p1	8	-0.091038	-1.3073	0.33986	0.84138	0.19112	0.7739
Klf4_p2	8	-0.0017397	-0.018787	0.81538	0.94032	0.98501	0.99497
Gpbp1l1_p1	8	-0.15916	-2.935	0.08951	0.775	0.0033353	0.15898
Zfp213_p1	8	0.048278	0.8753	0.33986	0.84138	0.38141	0.85949
RE95	10	-0.13666	-1.7103	0.088112	0.775	0.087211	0.7739
Arid4a_p1	8	-0.045743	-0.58074	0.74685	0.92683	0.56142	0.90945
Pou2f1_p1	8	-0.054111	-0.76857	0.66993	0.92683	0.44215	0.8651
Nr4a1_p1	8	-0.034847	-0.66486	0.84196	0.94803	0.50614	0.89355
Zfp42_p1	8	-0.019471	-0.34875	0.9958	0.9958	0.72728	0.93639
Hic2_p1	8	-0.055863	-0.87506	0.65315	0.92683	0.38154	0.85949
Ahctf1_p1	8	-0.14696	-0.89535	0.11189	0.775	0.3706	0.85949
RE51	10	0.021601	0.39424	0.5049	0.92683	0.6934	0.92758
Zmiz2_p1	8	-0.018243	-0.39313	0.98881	0.9958	0.69422	0.92758
RE61	10	-0.095793	-1.4964	0.27832	0.84138	0.13454	0.7739
Hmg20b_p1	8	-0.09751	-1.3364	0.3021	0.84138	0.18141	0.7739
Pknox1_p1	8	-0.13739	-0.91028	0.12727	0.775	0.36268	0.85949
Stag2_p3	8	-0.013665	-0.20324	0.92727	0.975	0.83895	0.96599
Bnc2_p1	8	0.026073	0.46459	0.52448	0.92683	0.64223	0.92536
Myrf_p1	8	0.11238	1.8849	0.039161	0.7	0.059449	0.7739
Zfp217_p1	8	-0.0063177	-0.11527	0.86154	0.95385	0.90823	0.97267
Myef2_p1	8	-0.062859	-0.81436	0.58881	0.92683	0.41544	0.85949
Zfp985_p1	8	0.068565	1.2784	0.21818	0.84138	0.20109	0.7739
Sp1_p1	8	-0.090795	-1.4186	0.34126	0.84138	0.15602	0.7739
Zfp445_p1	8	0.030281	0.51801	0.48252	0.92683	0.60445	0.92536
Ssrp1_p1	8	-0.03669	-0.61265	0.82517	0.944	0.5401	0.90945
Nme2_p1	8	-0.134	-2.4257	0.13846	0.78065	0.015281	0.52963
Etv5_p1	8	0.053001	0.73663	0.31189	0.84138	0.46135	0.8651
Zfp748_p1	8	0.0045268	0.068755	0.73986	0.92683	0.94518	0.98868
Zfp771_p2	8	-0.051304	-0.9661	0.6979	0.92683	0.334	0.85949
RE93	10	0.092916	1.5402	0.074126	0.75714	0.12351	0.7739
Zbtb44_p1	8	-0.092167	-0.76032	0.33287	0.84138	0.44706	0.8651
Gmeb2_p1	8	0.1024	1.722	0.067133	0.75714	0.085078	0.7739
E2f3_p2	8	0.10375	1.5285	0.061538	0.75714	0.12639	0.7739
Nfe2l2_p1	8	0.078808	1.417	0.16923	0.78065	0.15648	0.7739
Elf1_p1	8	-0.079802	-1.066	0.40699	0.88732	0.28644	0.83878
Tfeb_p2	8	0.019251	0.34061	0.58322	0.92683	0.73339	0.93639
Zscan10_p1	8	0.037435	0.73623	0.42517	0.88732	0.46159	0.8651
RE12	10	0.068297	1.5202	0.15944	0.78065	0.12845	0.7739
Nup62cl_p1	8	-0.0072783	-0.134	0.86713	0.95385	0.8934	0.97267
RE57	10	0.031634	0.60029	0.4	0.88732	0.54832	0.90945
Cebpg_p1	8	-0.10156	-1.0611	0.28252	0.84138	0.28863	0.83878
Lbr_p1	8	0.0013696	0.017891	0.77762	0.92683	0.98573	0.99497
Gabpb2_p1	8	0.08927	1.2219	0.13007	0.775	0.22173	0.80527
Zfp292_p1	8	-0.026766	-0.37984	0.91888	0.975	0.70406	0.92758
Smarcc1_p2	8	0.083691	1.2656	0.14965	0.78065	0.20565	0.7739
RE127	10	-0.052971	-0.79771	0.62937	0.92683	0.42504	0.85949
Ncor1_p2	8	-0.089235	-1.287	0.34965	0.84333	0.19808	0.7739
Hes1_p2	8	-0.071426	-0.95012	0.49371	0.92683	0.34205	0.85949
RE97	10	-0.0030507	-0.05041	0.79441	0.92683	0.9598	0.98868
Brd4_p1	8	0.02322	0.59344	0.55245	0.92683	0.55289	0.90945
Tcf12_p2	8	0.038668	0.5463	0.41958	0.88732	0.58486	0.91157
Gtf2ird1_p2	8	-0.021069	-0.41604	0.97762	0.9958	0.67738	0.92758
