gene name	chromosome	start	end	strand	half-time	basal skewing	sqrtRSS	RPKM (t=0)	known escapee? (source)	known silenced? (source)	validated by mRNA-Seq (half-time)	predicted class by XCI/escape model	class probability
Nr0b1	chrX	86191763	86195947	+	0.29	0.41	0.76	23.78			Yes (0.23)	0	0.96
Magt1	chrX	105968083	106011906	-	0.29	0.57	0.42	7.02	Yes (7*)		Yes (0.28)	0	0.96
Cd99l2	chrX	71420059	71492849	-	0.29	0.67	0.24	1.53	Yes (7*)		Yes (0.53)	0	0.94
Usp26	chrX	51753958	51801233	-	0.30	0.47	0.62	1.53			Yes (0.66)	0	0.76
Ophn1	chrX	98554276	98891025	-	0.31	0.66	0.36	1.17	Yes (7*,**)	Yes (4)	Yes (0.48)	0	0.88
Maged1	chrX	94535473	94542143	-	0.32	0.55	1.20	19.58			Yes (0.41)	0	0.98
Platr21	chrX	139240225	139357738	-	0.32	0.61	0.49	1.73			Yes (0.35)	0	0.97
Hdac8	chrX	102284638	102505359	-	0.33	0.56	0.47	6.48	Yes (7*)		 	0	0.82
Klf8	chrX	153237465	153396132	+	0.33	0.49	0.29	9.06			Yes (0.23)	0	0.97
Armcx4	chrX	134686518	134696757	+	0.33	0.54	0.54	22.78	Yes (7*,**)		Yes (0.21)	0.078	0.52
Dlg3	chrX	100767721	100818410	+	0.34	0.68	0.79	5.82			Yes (0.23)	1	0.34
Fmr1nb	chrX	68761838	68804567	+	0.34	0.53	0.49	38.07			Yes (0.72)	0	0.72
Klhl15	chrX	94234598	94277724	+	0.35	0.51	0.59	4.22		Yes (1), proximal to ecapee	Yes (0.22)	0	0.98
Eras	chrX	7924275	7928607	-	0.36	0.37	0.53	5.01				1	0.34
Abcb7	chrX	104280656	104413856	-	0.36	0.54	0.25	4.67	Yes (7*)	Yes (3)	Yes (0.47)	0	0.89
Chm	chrX	113040592	113185517	-	0.36	0.54	0.42	6.46	Yes (2,6)		Yes (0.9)	0	0.57
Phka1	chrX	102513974	102644246	-	0.37	0.47	0.39	3.60	Yes (7*)		Yes (0.38)	0	0.87
Pdk3	chrX	93764606	93832201	-	0.37	0.54	0.46	8.43		Yes (1)	Yes (0.46)	0	0.62
Pfkfb1	chrX	150588228	150643878	+	0.37	0.59	0.61	13.22	Yes (7*)		Yes (0.38)	0	0.86
Armcx1	chrX	134717962	134721917	+	0.38	0.55	0.67	27.08	Yes (7*,**)		Yes (0.22)	0	0.87
Cdkl5	chrX	160771922	160994704	-	0.38	0.53	0.42	1.96	Yes (7*)		Yes (0.68)	0	0.57
Hmgb3	chrX	71555917	71560676	+	0.39	0.59	0.73	17.86	Yes (7*)			0	0.97
Fhl1	chrX	56731786	56793346	+	0.39	0.65	0.36	6.05	Yes (7*,**)		Yes (0.66)	0	0.72
2210013O21Rik	chrX	153723589	153741920	+	0.39	0.61	0.49	10.73			Yes (0.69)	0	0.72
Gk	chrX	85701936	85776819	-	0.39	0.58	0.44	1.75			Yes (0.3)	0.184	0.51
Ddx26b	chrX	56454856	56507843	+	0.40	0.56	0.56	11.71	Yes (7**)		Yes (0.56)	0.068	0.52
Tbl1x	chrX	77511012	77662983	+	0.40	0.45	0.39	9.94			Yes (0.33)	0	0.93
C77370	chrX	104077433	104201185	-	0.40	0.59	0.57	2.86			Yes (0.27)	0	0.72
Hsd17b10	chrX	152001844	152004442	+	0.40	0.39	1.12	23.42			Yes (0.71)	0	0.71
Zfx	chrX	94074630	94123702	-	0.40	0.50	0.41	7.03		Yes (1), proximal to ecapee	Yes (0.47)	0	0.73
Ccdc22	chrX	7593808	7605517	-	0.41	0.52	0.35	0.45				1	0.36
Aifm1	chrX	48474943	48513563	-	0.42	0.62	0.58	10.75	Yes(7*)		Yes (0.42)	0	0.81
Cox7b	chrX	106015699	106022450	+	0.42	0.44	0.25	32.60	Yes (7*)		 	0.276	0.51
Syn1	chrX	20860510	20921004	-	0.42	0.62	0.65	3.96			 	0	0.61
Msn	chrX	96096041	96168552	+	0.43	0.45	0.53	4.78	Yes (7*)		Yes (0.66)	0	0.93
4930519F16Rik	chrX	103182970	103311782	-	0.44	0.50	0.33	7.25			Yes (0.55)	0	0.70
Renbp	chrX	73922120	73930850	-	0.45	0.55	0.55	35.89	Yes (7*)			1	0.32
Tspyl2	chrX	152336851	152342425	-	0.46	0.53	0.50	23.10	Yes (7*)	Yes (1), proximal to ecapee	Yes (0.36)	0	0.66
Elk1	chrX	20933394	20950608	-	0.46	0.57	0.33	4.59				0.286	0.51
Gpc3	chrX	52272425	52613950	-	0.46	0.51	0.20	7.85	Yes (7**)		Yes (0.7)	0	0.90
Fgd1	chrX	151046149	151089521	+	0.46	0.61	0.23	13.69			Yes (0.42)	0	0.83
Tab3	chrX	85574021	85634469	+	0.47	0.50	0.66	4.35	Yes (7*)		Yes (0.36)	0	0.73
Egfl6	chrX	166523006	166585720	-	0.47	0.78	0.41	2.41			 	0	0.76
Mecp2	chrX	74026591	74135363	-	0.47	0.53	0.47	15.44	Yes (6,7*)	Yes (2,6), for (6): intermediate inactivation in EBs, escapee in neuronal progenitor cells	Yes (0.58)	1	0.29
Mospd2	chrX	164936168	164980375	-	0.48	0.55	0.37	12.98	Yes (7*)			0	0.72
Prps1	chrX	140456612	140476140	+	0.48	0.47	0.44	101.29	Yes (7*)			0	0.96
Kantr	chrX	152294827	152327495	-	0.48	0.56	0.32	11.83			Yes (0.44)	0	0.66
Gpc4	chrX	52053020	52165252	-	0.48	0.57	0.30	8.02			Yes (0.4)	0	0.94
A230072E10Rik	chrX	151291973	151344846	-	0.48	0.33	0.73	1.44			 	0	0.72
Acot9	chrX	155262442	155297654	+	0.48	0.53	0.46	10.08			Yes (0.99)	0	0.95
Firre	chrX	50555743	50635321	-	0.49	0.49	0.27	25.33	Yes (1,2,4,5,7*)		 	0	0.65
Atp7a	chrX	106027275	106124926	+	0.49	0.50	0.55	5.44			Yes (0.53)	0	0.83
Eda	chrX	99975605	100400762	+	0.50	0.46	0.42	5.29			Yes (0.76)	0	0.67
Elf4	chrX	48411045	48463132	-	0.51	0.65	0.43	4.93	Yes (7*)		Yes (0.4)	0	0.92
Pgk1	chrX	106187099	106203699	+	0.51	0.49	0.15	27.30	Yes (7*)	Yes (3,6)	 	0	0.58
Dynlt3	chrX	9654266	9663003	-	0.51	0.22	0.79	3.57			 	0.974	0.47
Slc25a14	chrX	48623412	48662294	+	0.51	0.49	0.79	6.90			Yes (0.68)	0	0.80
Zic3	chrX	58022699	58041736	+	0.52	0.50	0.56	19.88			Yes (0.7)	0	0.88
BC065397	chrX	136741823	136803364	+	0.52	0.43	0.41	8.26	Yes (7*)		Yes (0.33)	0.964	0.47
Apex2	chrX	150519518	150589868	-	0.52	0.55	0.50	6.23	Yes (7*)		Yes (0.29)	0	0.67
Pcyt1b	chrX	93654862	93749951	+	0.52	0.42	0.53	5.15			Yes (0.42)	0	0.95
Kif4	chrX	100625736	100727214	+	0.53	0.50	0.34	11.43	Yes (5)		Yes (0.47)	0	0.70
Gdi1	chrX	74304997	74311862	+	0.53	0.38	0.67	29.12	Yes (5)		Yes (0.46)	1	0.29
Pdha1	chrX	160122208	160138413	-	0.53	0.55	0.30	18.83	Yes (5,7*)		Yes (0.94)	0	0.77
Gm8061	chrX	139358467	139359257	+	0.53	0.59	0.39	34.74			 	0	0.92
Pir	chrX	164269370	164373011	+	0.53	0.54	0.20	6.56	Yes (7*)			0	0.84
Rps4x	chrX	102184940	102189394	-	0.54	0.65	0.42	76.59	Yes (3,7*)			0	0.73
Rbbp7	chrX	162760401	162779092	+	0.54	0.35	0.51	41.78			Yes (0.87)	0	0.69
Slc9a6	chrX	56609756	56664230	+	0.55	0.58	0.31	8.20	Yes (7*)		Yes (0.96)	0.954	0.47
Rps6ka6	chrX	111388191	111537959	-	0.56	0.61	0.72	2.08	Yes (7*)		Yes (0.57)	0	0.59
1110012L19Rik	chrX	70385876	70389417	+	0.56	0.54	0.64	13.85	Yes (7*)		 	0	0.66
Ofd1	chrX	166390032	166440704	-	0.56	0.56	0.40	11.85	Yes (6)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells	Yes (0.86)	0	0.74
Gspt2	chrX	94636068	94643244	+	0.56	0.49	0.50	8.10			Yes (0.38)	0	0.86
Morf4l2	chrX	136732941	136743690	-	0.57	0.34	0.35	29.58			Yes (0.32)	0.012	0.54
Zfp280c	chrX	48541624	48594504	-	0.57	0.47	0.76	4.26	Yes (7**)		Yes (0.45)	0	0.94
Fam120c	chrX	151344174	151471842	+	0.58	0.57	0.37	7.75			Yes (0.66)	0	0.87
Ubl4a	chrX	74365717	74373218	-	0.58	0.61	0.42	43.54			Yes (0.43)	1	0.24
Smc1a	chrX	152016427	152062694	+	0.58	0.47	0.57	11.19		Yes (1), proximal to ecapee	Yes (0.95)	0	0.74
Fam50a	chrX	74313032	74320149	+	0.58	0.65	0.49	14.20			Yes (0.85)	1	0.45
Alg13	chrX	144317803	144374450	+	0.59	0.55	0.27	28.62	Yes (5)		Yes (0.65)	0	0.87
Atrx	chrX	105797614	105929403	-	0.59	0.50	0.25	12.25		Yes (6)	Yes (0.78)	0	0.83
Sh3kbp1	chrX	159627271	159978069	+	0.59	0.51	0.57	0.60			Yes (0.78)	0	0.94
Ccdc160	chrX	52791199	52799468	+	0.60	0.64	0.95	20.74	Yes (7**)		Yes (0.28)	0	0.85
Dmd	chrX	82948869	85206141	+	0.60	0.48	0.28	1.95	Yes (7*)		Yes (0.39)	0	0.68
Magix	chrX	7673163	7681251	-	0.61	0.43	0.50	27.03	Yes (7*)		 	1	0.38
Gprasp1	chrX	135742732	135803474	+	0.61	0.44	0.40	7.73	Yes (5,3,7*)		Yes (0.51)	0	0.67
Ammecr1	chrX	142851145	142966728	-	0.62	0.43	0.44	6.32				0	0.76
Tmsb15b2	chrX	136955264	136958025	-	0.62	0.23	0.66	48.13			 	0	0.61
Phka2	chrX	160502165	160598878	+	0.62	0.50	0.25	6.27	Yes (7*)			0	0.75
Usp11	chrX	20703905	20720539	+	0.62	0.40	0.32	18.25	Yes (6)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells	Yes (0.88)	1	0.27
Tfe3	chrX	7762559	7775202	+	0.62	0.57	0.48	29.76				0.544	0.50
Bhlhb9	chrX	135797593	135891081	+	0.62	0.46	0.66	8.25	Yes (7*)		Yes (0.48)	0	0.67
Mtm1	chrX	71210766	71315691	+	0.64	0.52	0.28	4.57	Yes (7*)		Yes (0.56)	0	0.77
Vma21	chrX	71815923	71839757	+	0.64	0.65	0.58	2.16	Yes (7*)			0	0.71
Tmsb15l	chrX	136954987	136976869	-	0.64	0.32	0.71	0.17	Yes (7*)		Yes (0.7)	0	0.68
Zmat1	chrX	134971371	135009209	-	0.65	0.39	0.73	5.36			 	0	0.64
Eda2r	chrX	97333839	97377216	-	0.66	0.52	0.53	7.37	Yes (6)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells		0.788	0.49
Igbp1	chrX	100494290	100516125	+	0.66	0.52	0.27	8.96				0	0.65
Ercc6l	chrX	102141715	102157091	-	0.66	0.54	0.41	20.07	Yes (3,6)	Yes (6), intermediate inactivation in EBs, escapee in neuronal progenitor cells	Yes (0.39)	0	0.66
Cenpi	chrX	134308083	134362639	+	0.66	0.55	0.46	11.25			Yes (0.79)	0.348	0.51
Las1l	chrX	95935334	95956962	-	0.66	0.52	0.49	10.67	Yes (7*)	Yes (3)	Yes (0.76)	0	0.60
Ccdc120	chrX	7731713	7750905	-	0.67	0.46	0.71	7.37			Yes (0.76)	1	0.40
Tsix	chrX	103431516	103484957	+	0.69	0.45	0.42	57.56	Yes (7*,**)		Yes (0.09)	0	0.59
Nono	chrX	101429317	101448591	+	0.69	0.48	0.30	21.12	Yes (7*)		Yes (0.51)	0	0.78
Acsl4	chrX	142317992	142390535	-	0.70	0.34	0.71	3.04			Yes (0.5)	0	0.86
Glod5	chrX	8004199	8018492	-	0.71	0.33	1.03	8.22			 	1	0.23
Phf6	chrX	52912265	52956943	+	0.71	0.42	0.72	1.76	Yes (7*)		Yes (0.89)	0	0.91
A230072C01Rik	chrX	20961683	20986737	+	0.71	0.53	0.61	37.03	Yes (6)	Yes (6), intermediate inactivation in EBs, escapee in neuronal progenitor cells		0	0.55
Zdhhc15	chrX	104536968	104671064	-	0.71	0.49	0.96	3.70	Yes (7**)		Yes (0.22)	0	0.90
Xiap	chrX	42059678	42109656	+	0.72	0.53	0.61	12.99			Yes (0.71)	0	0.76
Atp11c	chrX	60223289	60592698	-	0.72	0.46	0.26	2.86				0	0.72
Huwe1	chrX	151800806	151935417	+	0.73	0.49	0.32	14.12	Yes (5)	Yes (3,6)	Yes (0.98)	0	0.70
Mpp1	chrX	75109732	75131016	-	0.73	0.66	0.48	16.08	Yes (7*)			0	0.62
Chic1	chrX	103356475	103396092	+	0.74	0.52	0.39	5.42		Yes (6)	Yes (0.38)	0	0.60
Ftx	chrX	103560906	103623754	-	0.74	0.62	0.85	2.53	Yes (5,6,7*)		Yes (0.22)	0.878	0.48
Trappc2	chrX	166440573	166453140	+	0.74	0.54	1.28	3.85			 	0	0.72
Ribc1	chrX	152004581	152016295	-	0.74	0.51	1.26	22.68			Yes (0.53)	0	0.79
Htatsf1	chrX	57053582	57067183	+	0.75	0.48	0.84	8.02				0	0.70
Tbc1d8b	chrX	139684995	139753405	+	0.75	0.40	0.73	3.70	Yes (7*)		Yes (0.32)	0	0.97
Map7d2	chrX	159414571	159498757	+	0.76	0.51	0.56	1.05				0	0.94
Gm15246	chrX	169320621	169368190	+	0.76	0.54	0.70	5.07			 	0.018	0.53
Ikbkg	chrX	74393289	74453854	+	0.77	0.52	0.28	9.50			Yes (0.65)	1	0.25
Syap1	chrX	162857056	162888447	-	0.77	0.55	0.45	4.05	Yes (3)			0	0.64
Snx12	chrX	101097785	101222563	-	0.77	0.48	0.30	10.83	Yes (7*)		Yes (0.8)	0	0.93
Pdzd4	chrX	73793358	73824969	-	0.78	0.43	0.55	12.08			Yes (0.69)	0	0.59
Zfp449	chrX	56346399	56365674	+	0.79	0.50	0.91	2.41			Yes (0.72)	0	0.71
5530601H04Rik	chrX	105037196	105079609	-	0.80	0.49	0.57	9.97	Yes (4,5,6)	Yes (6), intermediate inactivation in EBs, escapee in neuronal progenitor cells	Yes (0.73)	1	0.36
Lamp2	chrX	38401356	38456454	-	0.80	0.44	0.42	23.55	Yes (5)	Yes (6)	Yes (0.73)	0	0.70
Rbmx2	chrX	48695003	48710723	+	0.80	0.60	0.18	10.92			Yes (0.8)	0	0.66
Nsdhl	chrX	72918556	72958514	+	0.80	0.53	0.35	31.77				0	0.55
Mcf2	chrX	60055955	60179089	-	0.80	0.52	0.29	14.33			Yes (0.69)	0	0.93
Tmsb15b1	chrX	136974021	136976874	-	0.81	0.37	0.82	0.00			Yes (0.68)	0	0.68
Reps2	chrX	162411953	162643649	-	0.81	0.51	1.29	0.20	Yes (7*)		 	0	0.79
Cdk16	chrX	20687953	20699880	+	0.81	0.52	0.34	25.55	Yes (2,6,7*)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells		1	0.33
Zdhhc9	chrX	48171968	48208878	-	0.82	0.54	0.66	5.10			Yes (0.69)	0	0.94
Slc7a3	chrX	101079209	101086020	-	0.83	0.39	0.67	23.81				0.01	0.54
BC023829	chrX	70459752	70477180	-	0.83	0.45	0.48	4.23			Yes (0.57)	0	0.85
Txlng	chrX	162778918	162829454	-	0.85	0.42	0.27	8.37			Yes (0.8)	0	0.81
Rps6ka3	chrX	159210306	159368244	+	0.86	0.49	0.41	6.59			Yes (0.81)	0	0.74
Uxt	chrX	20941721	20962017	-	0.86	0.51	0.23	33.89	Yes (7*)			0	0.55
Piga	chrX	164419786	164433916	+	0.86	0.40	0.16	27.06		Yes (1)	Yes (0.92)	0	0.84
Gnl3l	chrX	150983140	151017322	-	0.86	0.48	0.65	20.30			Yes (0.45)	0	0.92
Gripap1	chrX	7789764	7820567	+	0.87	0.44	0.76	3.21	Yes (3,6)		Yes (0.65)	1	0.38
Rp2	chrX	20364480	20405653	+	0.87	0.57	0.26	3.91				1	0.31
Apoo	chrX	94367116	94417093	+	0.87	0.46	0.22	16.59	Yes (7*)		 	0	0.92
Tceal8	chrX	136168983	136172342	-	0.89	0.40	1.46	34.54	Yes (7**)		Yes (0.28)	0	0.72
Tmem164	chrX	142681405	142843494	+	0.91	0.54	0.76	2.86	Yes (5,7*)			0	0.95
Tceanc	chrX	166499811	166518567	-	0.91	0.54	0.45	7.13				0	0.84
Ctps2	chrX	162901237	163032508	+	0.92	0.31	0.58	7.41				0	0.70
Zrsr2	chrX	163935442	163958661	-	0.93	0.56	0.44	19.82	Yes (3,6,7*)			0	0.76
Abcd1	chrX	73716596	73738534	+	0.93	0.48	1.02	12.78				0	0.58
Prickle3	chrX	7657259	7668186	+	0.93	0.53	0.60	9.38	Yes (7*)			1	0.31
RP23-109E24.10	chrX	7722244	7730530	+	0.94	0.56	0.73	0.00	Yes (7*)			0.004	0.54
Irak1	chrX	74013913	74023918	-	0.95	0.43	0.35	21.07	Yes (7*)			1	0.27
Rpl10	chrX	74270811	74273135	+	1.00	0.53	0.52	186.35	Yes (7*)			1	0.32
Taz	chrX	74281911	74290151	+	1.01	0.62	0.78	12.85	Yes (7*)			1	0.12
Hprt	chrX	52988136	53021659	+	1.01	0.55	0.41	26.31	Yes (7*)	Yes (6)		0	0.64
Diaph2	chrX	129749741	130465834	+	1.01	0.47	0.45	4.24				0	0.90
Bcap31	chrX	73686177	73716175	-	1.02	0.47	0.41	43.80				0.002	0.55
Pola1	chrX	93304766	93632155	-	1.02	0.47	0.41	16.23				0	0.71
Gemin8	chrX	166170453	166190512	+	1.03	0.55	0.64	2.64				0	0.63
Was	chrX	8081452	8090498	-	1.03	0.39	0.85	3.25				1	0.06
Bcor	chrX	12036739	12160355	-	1.04	0.42	0.39	7.89				1	0.40
Syp	chrX	7638470	7653256	+	1.04	0.44	0.42	6.36	Yes (5)			1	0.33
Vbp1	chrX	75514298	75534942	+	1.05	0.53	0.46	22.36	Yes (2,6)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells		0	0.94
1700013H16Rik	chrX	53742900	53757831	-	1.06	0.30	1.00	42.32				0	0.87
Clcn5	chrX	7153809	7319358	-	1.07	0.45	0.56	3.76				0.328	0.51
Arhgap4	chrX	73891441	73921870	-	1.08	0.57	0.23	4.06				1	0.28
Zfp182	chrX	21028938	21062316	-	1.09	0.50	0.51	4.14				0.528	0.50
Gm14634	chrX	12762277	12821492	+	1.11	0.62	0.40	4.74				1	0.02
Rbm3	chrX	8138974	8145880	-	1.11	0.55	0.38	73.87	Yes (6,7*)			1	0.27
Rab9	chrX	166457252	166479867	-	1.12	0.44	0.27	13.25				0	0.77
Sms	chrX	157443854	157492287	-	1.12	0.53	0.35	3.80	Yes (7*)			0	0.96
Naa10	chrX	73916872	73921944	-	1.13	0.47	0.60	25.84	Yes (7*)			1	0.22
Slc6a8	chrX	73673149	73682502	+	1.14	0.46	0.61	33.52				1	0.04
Gm36995	chrX	7558601	7605381	-	1.14	0.49	0.33	0.21				1	0.38
Praf2	chrX	7728438	7731064	+	1.15	0.45	1.29	58.91				0.24	0.51
Mageb16	chrX	79623230	79671435	-	1.15	0.57	0.81	1.51				0	0.70
Hccs	chrX	169250192	169320372	-	1.17	0.50	0.46	5.61				0.564	0.50
Hdac6	chrX	7930119	7947889	-	1.18	0.54	0.36	10.02	Yes (3,6,7)			1	0.16
Timm17b	chrX	7899356	7908351	+	1.18	0.48	0.80	14.31	Yes (6,7*)			1	0.13
Mbtps2	chrX	157535370	157598715	-	1.18	0.50	0.51	7.66	Yes (7*)			0	0.95
Shroom2	chrX	152609508	152769465	-	1.18	0.45	0.37	5.83	Yes (7*)			0	0.92
Emd	chrX	74254686	74261548	+	1.20	0.34	0.74	16.10				1	0.33
Utp14a	chrX	48256861	48282453	+	1.22	0.54	0.29	17.10	Yes (3,5,6,7*)			0	0.57
Ocrl	chrX	47912386	47965868	+	1.22	0.47	0.49	5.59	Yes (7*)			0	0.67
Gpkow	chrX	7697130	7710262	+	1.23	0.42	0.75	13.78				1	0.40
Bcorl1	chrX	48341357	48408049	+	1.27	0.45	0.56	5.02				0	0.94
Suv39h1	chrX	8061170	8074760	-	1.28	0.56	0.49	17.34	Yes (2,3)			1	0.06
Pdzd11	chrX	100622882	100626568	-	1.30	0.31	1.38	20.32				0	0.82
Zfp185	chrX	72987338	73031543	+	1.34	0.51	1.03	2.96				0	0.56
Eif1ax	chrX	159372177	159389928	+	1.35	0.44	0.56	12.22	Yes (7*)			0	0.77
Gm10489	chrX	10707175	10717242	-	1.37	0.48	0.95	13.40				1	0.10
A830080D01Rik	chrX	159526687	159593081	+	1.38	0.57	0.20	13.41				0	0.74
Yipf6	chrX	98936315	98949017	+	1.40	0.44	0.51	10.59	Yes (3)			0	0.83
Gpr143	chrX	152781920	152808646	+	1.40	0.52	0.23	20.18				0	0.85
Pin4	chrX	102119446	102127669	+	1.44	0.47	0.90	9.48				0	0.59
Lage3	chrX	74351275	74353618	-	1.45	0.44	0.87	30.04				1	0.10
Cask	chrX	13517079	13851367	-	1.48	0.54	0.35	4.42	Yes (7**)	Yes (1), proximal to ecapee		1	0.08
Atp6ap1	chrX	74297096	74304721	+	1.50	0.61	0.86	17.47				1	0.27
Eif2s3x	chrX	94188706	94212862	-	1.50	0.45	0.37	4.93	Yes (1,2,3,4,5,7*)			0	0.98
Phf8	chrX	151520671	151633859	+	1.51	0.59	0.32	12.54				0	0.74
Wdr45	chrX	7714332	7728206	+	1.54	0.59	1.10	17.47	Yes (6)			0.006	0.54
Shroom4	chrX	6399853	6637448	+	1.55	0.64	0.74	1.44	Yes (1,7*)	Yes (6)		1	0.21
Tmem47	chrX	81070697	81097872	+	1.56	0.56	0.49	7.86	Yes (5,7**)			0	0.91
Rbm10	chrX	20617502	20650901	+	1.56	0.48	0.38	15.99				1	0.33
Kdm5c	chrX	152233019	152274535	+	1.59	0.56	0.47	16.91	Yes (1,2,3,4,5,6,7*)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells		0	0.91
Flna	chrX	74223460	74249820	-	1.60	0.40	0.71	8.42				1	0.20
Tspan7	chrX	10485157	10596605	+	1.64	0.52	1.18	0.46	Yes (7*)		Yes (1.72)	1	0.45
Ogt	chrX	101640059	101684351	+	1.64	0.48	0.44	29.53	Yes (2,3,6,7*)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells		0	0.74
Prps2	chrX	167346321	167382749	-	1.65	0.34	0.81	3.27	Yes (7*)			0	0.85
Uba1	chrX	20658325	20683179	+	1.66	0.49	0.21	28.40	Yes (5,6)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells	Yes (2.12)	0.998	0.46
Enox2	chrX	49009706	49288259	-	1.70	0.44	0.83	3.62	Yes (7*)			0	0.59
Med14	chrX	12675368	12762073	-	1.70	0.55	0.52	4.42	Yes (6)	Yes (1,6), proximal to ecapee, late inactivation in EBs, escapee in neuronal progenitor cells		1	0.05
Ppp1r3f	chrX	7557295	7574283	-	1.73	0.49	0.42	11.31			Yes (3.47)	1	0.33
Brwd3	chrX	108737015	108834372	-	1.73	0.48	0.46	3.37	Yes (7*)			0.036	0.53
Klhl13	chrX	23219270	23365082	-	1.74	0.55	0.24	9.58				1	0.35
Jade3	chrX	20425687	20519939	+	1.77	0.53	0.40	6.93				1	0.35
Cfp	chrX	20925453	20931555	-	1.83	0.48	1.39	10.43	Yes (5,7*)			0.92	0.48
Msl3	chrX	168654116	168673898	-	1.89	0.47	0.59	3.75				0	0.78
Usp9x	chrX	13071497	13173328	+	1.89	0.55	0.09	15.49	Yes (2,3,5,6,7*)	Yes (1,6), proximal to ecapee, late inactivation in EBs, escapee in neuronal progenitor cells		1	0.43
Cmc4	chrX	75404845	75416584	-	1.94	0.57	0.43	0.58	Yes (7*)		Yes (2.08)	1	0.07
Ids	chrX	70343068	70365084	-	1.98	0.43	0.81	3.72	Yes (7*)			0	0.69
Taf1	chrX	101532733	101601789	+	2.09	0.53	0.45	13.69	Yes (2,3,6,7**)			1	0.10
G6pdx	chrX	74409482	74429194	-	2.35	0.52	1.29	43.48		Yes (6)		1	0.09
Araf	chrX	20797813	20860519	+	2.61	0.47	0.52	18.57	Yes (6,7*)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells	Yes (2.18)	1	0.13
Kdm6a	chrX	18162574	18279936	+	2.71		0.29	7.49	Yes (1,2,3,4,5,6)		Yes (3.47)	1	0.07
Otud5	chrX	7841363	7876626	+	2.84	0.46	0.27	25.19	Yes (3)			1	0.12
Ftsj1	chrX	8238667	8252406	-	2.91	0.44	0.78	8.73	Yes (6,7)		Yes (3.47)	1	0.01
Dnase1l1	chrX	74273216	74282337	-	2.92	0.43	1.26	11.80			 	1	0.13
Zmym3	chrX	101404383	101420849	-	2.98	0.39	1.48	11.81	Yes (7*)			1	0.17
